name,chartName,type,colour,description
Primary_Energy,,mixed,#D3D3D3,all
Gas_Demand_Actual_NTS_Dplus1,,gas,#D3D3D3,
Gas_to_Industry,,gas,#D3D3D3,Gas from transmission system to industry
Gas_to_Interconnector_Export,,gas,#D3D3D3,
Gas_to_LDZ_Offtake,,gas,#D3D3D3,
Gas_to_Powerstations,,gas,#D3D3D3,
Gas_to_Storage_Injection,,gas,#D3D3D3,
Gas_to_LDZ_Daily_Metered,,gas,#D3D3D3,
Gas_to_LDZ_Non_Daily_Metered,,gas,#D3D3D3,
Gas_Total_less_NDM,,gas,#D3D3D3,
Gas_Total_less_Exports,,gas,#D3D3D3,
Gas_Total_less_NDM_Exports,,gas,#D3D3D3,
Gas_DM_plus_NDM,,gas,#D3D3D3,
ESPENI,,electricity,#E15759,
Elec_INDO,,electricity,#D3D3D3,
Elec_EandW,,electricity,#D3D3D3,
Elec_from_Wind_Embed,,electricity,#D3D3D3,
Elec_from_Solar_Embed,,electricity,#F8B941,
Pumped_storage_pumping,,electricity,#D3D3D3,
Elec_from_CCGT,,electricity,#4E79A7,
Elec_from_Oil,,electricity,#D3D3D3,
Elec_from_Coal,,electricity,#262626,
Elec_from_Nuclear,,electricity,#E15759,
Elec_from_Wind_TC,,electricity,#689567,
Elec_from_Pumped_Storage,,electricity,#D3D3D3,
Elec_from_Non_PS_Hydro,,electricity,#D3D3D3,
Elec_from_OCGT,,electricity,#4E79A7,
Elec_from_Other,,electricity,#D3D3D3,
Elec_from_Biomass,,electricity,#D3D3D3,
ENERGY_ELEXM_INTFR_MWh,,electricity,#D3D3D3,
ENERGY_ELEXM_INTIRL_MWh,,electricity,#D3D3D3,
ENERGY_ELEXM_INTNED_MWh,,electricity,#D3D3D3,
ENERGY_ELEXM_INTEW_MWh,,electricity,#D3D3D3,
ENERGY_ELEXM_INTELEC_MWh,,electricity,#D3D3D3,
ENERGY_ELEXM_INTIFA2_MWh,,electricity,#D3D3D3,
ENERGY_ELEXM_INTNSL_MWh,,electricity,#D3D3D3,
ENERGY_ELEXM_INTNEM_MWh,,electricity,#D3D3D3,
Coal_to_Powerstations_36%_eff,,solid,#D3D3D3,
Elec_from_Wind_TC+Embed,,electricity,#689567,
Elec_from_Wind+Solar_Embed,,electricity,#D3D3D3,
Elec_WSH,,electricity,#D3D3D3,
Elec_WSHB,,electricity,#D3D3D3,
Elec_INDO_less_Renewables,,electricity,#D3D3D3,
Elec_from_INDO_less_Renewables_less_Nuclear,,electricity,#D3D3D3,
Elec_from_Nuclear+WDRenewables,,electricity,#D3D3D3,
Elec_from_Nuclear+WDRenewables+Biomass,,electricity,#D3D3D3,
Elec_from_All_Wind+Solar,,electricity,#D3D3D3,
Transport_MotorSpirit,,liquid fuel,#D3D3D3,
Transport_DERV,,liquid fuel,#D3D3D3,
Transport_AviationFuel,,liquid fuel,#D3D3D3,
Transport_MotorSpirit+DERV,,liquid fuel,#D3D3D3,
Transport_MotorSpirit+DERV+AviationFuel,,liquid fuel,#D3D3D3,
